Q8L3C9@SwissProt,1
P39462@UniProt,1
Q76HN6@UniProt,1
B2KJ46@UniProt,1
Q9P6C8@SwissProt,0
Q6L0S1@SwissProt,0
P08319@UniProt,1
Q6RS93@UniProt,0
B2ZRE3@UniProt,1
A4ISB9@UniProt,1
Q9QYY9@Unknown,1
P00331@Unknown,1
P00327@Unknown,1
P42328@Unknown,1
Q4J9F2@UniProt,1
H9ZGN0@UniProt,0
E7FHL9@UniProt,1
Q9Y9P9@UniProt,1
D4GSN2@UniProt,0
Q5JI09@UniProt,1
W6CX26@UniProt,1
Q8KLT9@UniProt,1
W8VSK8@UniProt,0
A3MVR8@UniProt,1
A0A075B5H4@UniProt,1
Q7Z4W1@SwissProt,1
Q91X52@SwissProt,0
Q920P0@SwissProt,0
Q8NK50@UniProt,1
A5HIF6@UniProt,0
Q31QF3@UniProt,1
P0AEK2@Unknown,1
O54438@UniProt,0
P14697@UniProt,1
Q92506@UniProt,1
Q06136@SwissProt,1
Q6GV12@SwissProt,0
Q8KZM4@Unknown,1
O58389@UniProt,0
E5RQ20@UniProt,0
E3PS87@UniProt,1
O75462@UniProt,1
Q8VIJ7@UniProt,1
Q76KC2@Unknown,1
Q9HTH8@UniProt,1
Q763T4@SwissProt,0
A2QAC0@UniProt,0
Q96V44@UniProt,1
B6HI95@UniProt,0
Q7SI09@UniProt,1
A0A1B4XTS0@UniProt,1
Q5SLC4@UniProt,1
Q9HK51@SwissProt,1
P11759@UniProt,1
Q9LQ04@Unknown,1
E3VXL5@UniProt,0
Q3C2L6@SwissProt,1
Q9KWR5@UniProt,1
Q00796@Unknown,1
O08699@SwissProt,0
P15428@UniProt,1
P22071@UniProt,0
P26439@SwissProt,1
Q9N119@SwissProt,1
Q93Y47@SwissProt,1
P9WQP7@UniProt,0
Q6R0J2@SwissProt,1
P28845@SwissProt,1
P51661@SwissProt,1
P16232@UniProt,1
Q04828@UniProt,1
Q8K023@Unknown,1
Q64105@Unknown,1
P35270@UniProt,1
Q9S3U5@SwissProt,1
P0AET8@Unknown,1
G9FRD7@UniProt,0
P0A9J4@Unknown,1
Q5JGC2@UniProt,1
P09424@UniProt,0
Q9R1J0@UniProt,1
Q15738@UniProt,1
P53199@UniProt,1
Q9TQS6@UniProt,1
D4GP29@SwissProt,0
P26935@SwissProt,1
Q2KNL6@SwissProt,1
B2NI94@UniProt,1
K9RZL7@UniProt,0
A0A0E4B3N6@UniProt,1
Q9C4B3@SwissProt,1
O75828@SwissProt,1
A1X808@UniProt,1
B2GV72@UniProt,1
Q9JJN7@SwissProt,1
Q8WNV7@Unknown,1
A3GF07@UniProt,1
Q5FT75@UniProt,1
Q9X265@UniProt,1
Q7S3U4@UniProt,1
F1N9C1@UniProt,1
E3W861@UniProt,1
A0A0E4AX59@UniProt,1
J9P7P2@UniProt,1
Q9Y8Y1@UniProt,0
P42330@UniProt,1
P16116@UniProt,1
A4IP64@UniProt,1
Q2VCF5@UniProt,0
P25539@UniProt,0
Q9ATW1@SwissProt,0
Q02971@Unknown,1
C5XC49@UniProt,1
A0A1D6BJ11@UniProt,1
B5AR58@UniProt,0
D0ITF8@UniProt,1
T1SEU9@UniProt,1
A0A072UJB3@UniProt,0
K4N0V2@UniProt,1
E5DD06@UniProt,1
P49384@Unknown,1
Q9JII6@SwissProt,0
C1IWT4@UniProt,1
P14941@Unknown,1
P51635@UniProt,1
C6A190@SwissProt,1
O73949@UniProt,1
Q8ZUP0@UniProt,0
B0K3U7@UniProt,0
U6CL97@UniProt,1
F8S123@UniProt,1
A3GHL4@UniProt,1
Q46856@UniProt,1
A4ECA9@UniProt,1
Q59477@UniProt,1
A0NIJ1@UniProt,1
P45513@UniProt,1
A0A0C1Q6R1@UniProt,1
Q8T6T2@UniProt,0
P9WKI7@UniProt,0
P50162@SwissProt,1
L7QI79@UniProt,1
U5PUZ1@UniProt,1
Q64428@SwissProt,1
P52895@SwissProt,1
P23457@UniProt,1
Q76L37@SwissProt,1
A4PIB0@UniProt,0
Q5FTU6@UniProt,1
A0A1D8RK43@UniProt,0
D2WKD9@UniProt,1
A0A097ZMY7@UniProt,1
Q6TQT0@SwissProt,1
Q41158@SwissProt,1
Q6DT40@UniProt,0
Q84L22@UniProt,0
A5Z0G1@Unknown,0
C4R4L0@UniProt,1
A0A0C6EUC4@UniProt,0
O60701@UniProt,0
Q9HY58@SwissProt,1
D4GYH5@SwissProt,1
O70199@UniProt,1
A0A0J9X7D2@UniProt,0
P10370@UniProt,0
P50163@SwissProt,1
Q65CJ7@SwissProt,1
F1T2J9@UniProt,1
G1T465@UniProt,1
I3DX19@UniProt,1
Q9SQ67@UniProt,1
Q071N0@UniProt,1
P43876@SwissProt,0
Q6PUF9@SwissProt,0
Q9SQT8@SwissProt,1
A4QB65@UniProt,1
Q9HFV6@UniProt,1
Q9C9W5@UniProt,1
Q97U35@UniProt,0
Q9C4M5@SwissProt,0
Q58122@UniProt,0
Q8X8Y1@UniProt,1
P9WNS1@Unknown,1
Q56841@UniProt,1
P00338@UniProt,0
Q27743@Unknown,1
W8CXQ9@UniProt,1
P56937@UniProt,1
O88736@UniProt,1
Q2VEQ7@SwissProt,1
P30863@Unknown,1
P06632@Unknown,1
P0A6D5@Unknown,1
Q00456@Unknown,1
Q0WM36@UniProt,1
Q72IW9@Unknown,0
Q5JFV8@UniProt,0
Q4R0J7@SwissProt,1
Q58LW6@SwissProt,0
A4PB64@UniProt,0
P05459@SwissProt,1
Q2I8V6@SwissProt,1
Q9DCT1@UniProt,1
Q84ST4@UniProt,0
Q7FAE1@UniProt,1
A4YI81@UniProt,0
Q6QQP7@UniProt,0
O63067@UniProt,0
P31116@Unknown,0
A8R3J3@UniProt,0
Q5KST5@SwissProt,1
D0VWQ0@Unknown,1
Q8NBN7@SwissProt,1
Q8BYK4@SwissProt,1
Q9W404@UniProt,0
Q8KQL2@SwissProt,1
Q58085@SwissProt,1
P39714@UniProt,1
O74237@SwissProt,1
A9QVV8@UniProt,1
Q9P8R5@SwissProt,0
Q6Y0Z3@SwissProt,0
A0MTG4@UniProt,0
F2YCN5@UniProt,1
I7HD84@UniProt,1
Q5P5I4@UniProt,1
O54909@UniProt,1
Q8IZV5@SwissProt,1
Q8HZT6@UniProt,0
O81884@UniProt,1
A0A1B2U6R8@UniProt,1
Q15GI3@UniProt,1
Q8RJB2@UniProt,1
Q53U21@UniProt,0
Q0VH87@UniProt,1
A0R610@UniProt,0
G3XD23@UniProt,0
Q58820@SwissProt,1
P04035@Unknown,1
Q59468@SwissProt,1
B4EKH5@UniProt,0
P12013@UniProt,0
E5F146@UniProt,0
P06632@UniProt,1
P9WNP7@UniProt,0
Q16836@Unknown,1
A4YDS4@UniProt,0
D3RXI4@UniProt,0
